SNO,CNO,DEGREE
PB210000001,20230402,89
PB210000002,20230402,94
PB210000003,20230402,90
PB210000004,20230402,95
PB210000005,20230402,93
PB210000006,20230402,75
PB210000007,20230402,78
PB210000008,20230402,81
PB210000001,20230404,73
PB210000002,20230404,82
PB210000003,20230404,92
PB210000004,20230404,68
PB210000005,20230404,72
PB210000006,20230404,93
PB210000007,20230400,77
PB210000008,20230400,92
PB210000009,20230400,82
PB210000010,20230400,91
PB210000008,20230418,69
PB210000001,20230418,92
PB210000002,20230418,95
PB210000003,20230418,82
PB210000010,20230406,83
PB210000011,20230406,84
PB210000012,20230406,78
PB210000013,20230406,89
PB210000017,20230408,81
PB210000015,20230408,74
PB210000018,20230408,95
PB210000019,20230408,91
PB210000020,20230408,89
PB210000014,20230410,82
PB210000016,20230410,72
PB210000011,20230410,75
PB210000018,20230412,85
PB210000020,20230412,83
PB210000008,20230412,77
PB210000005,20230412,74
PB210000015,20230412,98
PB210000001,20230412,80
PB210000019,20230412,81
PB210000019,20230416,75
PB210000020,20230416,89
PB210000001,20230416,49
PB210000002,20230416,87
PB210000003,20230416,97
PB210000004,20230416,86
PB210000005,20230416,89
PB210000006,20230418,90
PB210000020,20230418,85
PB210000021,20230418,83
PB210000001,20230420,95
PB210000006,20230420,89
PB210000020,20230420,85
PB210000021,20230420,83
PB210000024,20230420,80
PB210000025,20230420,87
